policy,threshold,ce_top_n,query_count,ndcg@10,mrr@10,recall@10,latency_avg_ms,latency_p50_ms,latency_p95_ms,selected_counts
baseline_or_ce_t0.7_k5,0.7,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,26.91427678551658,16.835249989526346,75.93411695270332,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.6062_k5,0.6062,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,35.22593352439193,18.09056251659058,75.93411695270332,"{""baseline"": 29, ""cross_encoder"": 13}"
baseline_or_ce_t0.6_k5,0.6,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,39.06429959516529,20.857499999692664,75.99147110595368,"{""baseline"": 26, ""cross_encoder"": 16}"
baseline_or_ce_t0.4_k5,0.4,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,40.18015673777665,21.90985399647616,75.99147110595368,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.5_k5,0.5,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,40.18015673777665,21.90985399647616,75.99147110595368,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.55_k5,0.55,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,40.18015673777665,21.90985399647616,75.99147110595368,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.65_k20,0.65,20,42,0.8552986446049677,0.9238095238095237,0.5934658052811093,45.93899304884309,16.835249989526346,221.05214550101653,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.7_k20,0.7,20,42,0.8552986446049677,0.9238095238095237,0.5934658052811093,45.93899304884309,16.835249989526346,221.05214550101653,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.3_k20,0.3,20,42,0.8529225772694935,0.9821428571428571,0.5463441515845945,182.57311914099515,178.30077151302248,239.7959437628742,"{""cross_encoder"": 41, ""baseline"": 1}"
baseline_or_ce_t0.6062_k20,0.6062,20,42,0.8396812642025169,0.9238095238095237,0.5810886155583818,73.78495435668377,18.09056251659058,221.36910999834063,"{""baseline"": 29, ""cross_encoder"": 13}"
baseline_or_ce_t0.6_k20,0.6,20,42,0.83645065835987,0.9238095238095237,0.5781124250821913,86.39151987985575,20.857499999692664,221.75904964969956,"{""baseline"": 26, ""cross_encoder"": 16}"
baseline_or_ce_t0.4_k20,0.4,20,42,0.83645065835987,0.9238095238095237,0.5781124250821913,90.73934628395364,21.90985399647616,221.75904964969956,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.5_k20,0.5,20,42,0.83645065835987,0.9238095238095237,0.5781124250821913,90.73934628395364,21.90985399647616,221.75904964969956,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.55_k20,0.55,20,42,0.83645065835987,0.9238095238095237,0.5781124250821913,90.73934628395364,21.90985399647616,221.75904964969956,"{""baseline"": 25, ""cross_encoder"": 17}"
